ags,pv,wind_on,biomass,water
01054085,191.625,0.0,0.0,0.0
01054087,696.2099999999999,0.0,0.0,0.0
01054089,14.240000000000002,0.0,0.0,0.0
01054094,775.9,6915.0,0.0,0.0
01054098,1709.7050000000002,0.0,0.0,0.0
01054129,146.85000000000002,0.0,0.0,0.0
01054143,735.0899999999999,6.0,380.0,0.0
01054158,311.20000000000005,0.0,0.0,0.0
01054160,14.2,0.0,0.0,0.0
01054163,266.08000000000004,0.0,0.0,0.0
01054164,741.187,0.0,736.0,0.0
01054001,9992.260000000006,20387.0,1780.67,0.0
01054009,631.0100000000001,3.0,0.0,0.0
01054016,11023.49,44985.0,759.0,0.0
01054017,7520.92,40253.0,2930.0,0.0
01054018,381.55,9000.0,1446.0,0.0
01054022,4701.7300000000005,20531.0,1970.0,0.0
01054027,2459.3300000000004,20050.0,0.0,0.0
01054034,5447.685,73036.0,1550.0,0.0
01054048,262.3,0.0,0.0,0.0
01054055,14086.112000000001,36000.0,75.0,0.0
01054062,497.52,12000.0,0.0,0.0
01054065,6836.385000000001,16850.0,400.0,0.0
01054068,10194.370000000003,43650.0,1020.0,0.0
01054073,2590.077,15006.0,3705.0,0.0
01054076,6829.113000000003,39106.0,4423.0,0.0
01054077,158.76,0.0,0.0,0.0
01054086,5079.581,0.0,1176.0,0.0
01054088,12841.289999999999,86206.0,3618.0,0.0
01054109,9933.313,75649.0,8805.0,0.0
01054110,1565.911,6.0,0.0,0.0
01054124,6756.489,29000.0,1276.0,0.0
01054125,6592.581,12000.0,1907.0,0.0
01054126,2261.065,10.0,360.0,0.0
01054131,3322.7609999999995,150.0,1766.0,0.0
01054136,455.31999999999994,10050.0,0.0,0.0
01054142,3974.938,0.0,460.0,0.0
01054154,1676.6850000000002,18450.0,3172.0,0.0
01054165,2381.62,39650.0,526.0,0.0
01054166,8283.196,14041.0,1625.0,0.0
01054167,5323.256,29574.0,972.0,0.0
01054007,701.33,6.0,610.0,0.0
01054023,1299.2850000000005,5.0,6757.0,0.0
01054026,848.0600000000002,17030.0,0.0,0.0
01054032,23.84,0.0,0.0,0.0
01054042,1940.6029999999996,0.0,250.0,0.0
01054043,591.245,30.0,0.0,0.0
01054052,5235.670000000002,14536.0,3794.0,0.0
01054054,49.910000000000004,0.0,0.0,0.0
01054070,1082.535,0.0,420.0,0.0
01054084,2324.6749999999997,27.0,617.0,0.0
01054091,4617.935000000001,0.0,3813.0,0.0
01054096,1276.1499999999999,9100.0,537.0,0.0
01054097,792.53,45800.0,460.0,0.0
01054099,1384.576,9100.0,0.0,0.0
01054105,503.78000000000003,0.0,0.0,0.0
01054106,2299.3399999999992,44650.0,755.0,0.0
01054116,880.0049999999999,0.0,756.0,0.0
01054119,911.6350000000001,6.0,250.0,0.0
01054120,1124.0100000000002,16306.0,420.0,0.0
01054130,57.5,0.0,0.0,0.0
01054132,167.9,0.0,0.0,0.0
01054141,567.08,0.0,0.0,0.0
01054156,575.565,16606.0,2550.0,0.0
01054157,54.7,0.0,0.0,0.0
01054159,1173.775,20486.0,365.0,0.0
01054161,978.7740000000001,31.3,0.0,0.0
01054162,422.73,5.5,0.0,0.0
01054002,1015.3699999999998,6006.0,1712.0,0.0
01054006,641.24,61421.0,0.0,0.0
01054010,1081.92,13486.0,0.0,0.0
01054012,4121.055,20700.0,1701.0,0.0
01054014,8161.147999999999,155444.0,2305.0,0.0
01054019,8074.108000000001,6.1,1065.0,0.0
01054020,1725.075,36800.0,450.0,0.0
01054024,3077.7549999999997,12927.0,0.0,0.0
01054037,1030.2299999999998,10250.0,130.0,0.0
01054038,1149.5799999999997,23000.0,970.0,0.0
01054045,2931.2000000000003,24506.0,0.0,0.0
01054059,1312.42,66712.0,0.0,0.0
01054071,282.68,0.0,0.0,0.0
01054075,8493.205,10182.0,2970.0,0.0
01054080,1517.4949999999997,0.0,0.0,0.0
01054093,1065.275,0.0,0.0,0.0
01054121,1361.425,20570.0,1241.0,0.0
01054128,2350.141,0.0,0.0,0.0
01054146,378.41299999999995,50900.0,1050.0,0.0
01055001,2389.744999999999,17956.0,1970.0,0.0
01055004,1265.5400000000002,0.0,527.0,0.0
01055007,1532.3559999999998,0.0,410.0,0.0
01055010,342.65999999999997,0.0,0.0,0.0
01055012,1895.8299999999997,15100.0,0.0,0.0
01055016,6235.962,40850.0,1736.0,0.0
01055018,304.25,0.0,0.0,0.0
01055021,3004.0409999999993,6250.0,0.0,0.0
01055025,219.89200000000005,0.0,0.0,0.0
