ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
3902;14225-0007;Aktiengesellschaft der Dillinger Hüttenwerke;Grobblechwalzwerk 2 der DH;SL;66763;Dillingen;Dillingen;253.457;11;Verarbeitung von Eisenmetallen;NACE 24.10;;09773125;3
202378;14226-0086;Aktiengesellschaft der Dillinger Hüttenwerke;DH-Vergüterei;SL;66763;Dillingen;Dillingen;68.804;11;Verarbeitung von Eisenmetallen;NACE 24.20;;09773125;3
202382;14226-0087;Aktiengesellschaft der Dillinger Hüttenwerke;DH-Weiterverarbeitung;SL;66763;Dillingen;Dillingen;8.176;11;Verarbeitung von Eisenmetallen;NACE 25.50;;09773125;3
1006;14310-0431;STEAG New Energies GmbH;FVS Kesselanlage;SL;66763;Dillingen;Dillingen;111.417;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;09773125;3
1086;14310-0521;Aktiengesellschaft der Dillinger Hüttenwerke;DH-Kesselstation;SL;66763;Dillingen;Dillingen;147.462;2;Energieumwandlung ? 50 MW FWL;NACE 24.10;;09773125;3
4137;14310-1445;Bruchteilsgemeinschaft nach § 741 ff BGB bestehend aus: Aktien-Gesellschaft der Dillinger Hüttenwerke, ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH;Gaskraftwerk Dillingen;SL;66763;Dillingen;Dillingen;875.915;2;Energieumwandlung ? 50 MW FWL;NACE 24.10;;09773125;3
205491;14633-0022;Nemak Dillingen GmbH;Nemak - Werk Dillingen;SL;66763;Dillingen;Dillingen;48.081;13;Verarbeitung von Nichteisenmetallen;NACE 24.53;;09773125;3
204882;14260-0254;V & B Fliesen GmbH;Fliesenwerk Merzig;SL;66663;Merzig;Merzig;25.275;17;Herstellung von Keramik;NACE 23.31;;10042113;2
1723;14310-1265;Homanit GmbH & Co. KG;Energiezentrale mit Dampferzeuger und Thermoölerhitzer;SL;66679;Losheim am See;Losheim am See;2.094;3;Energieumwandlung 20–50 MW FWL;NACE 16.21;;10042112;1
59;14220-0023;Saarstahl AG;LD-Stahlwerk Saarstahl AG;SL;66333;Völklingen;Völklingen;277.265;10;Herstellung von Roheisen und Stahl;NACE 24.10;;10041519;1
1877;14220-0043;Saarschmiede GmbH Freiformschmiede;Elektrostahlwerk Saarschmiede;SL;66333;Völklingen;Völklingen;6.087;10;Herstellung von Roheisen und Stahl;NACE 24.10;;10041519;1
2496;14225-0010;Saarstahl AG;Walzwerk Nauweiler Saarstahl AG;SL;66333;Völklingen;Völklingen;164.456;11;Verarbeitung von Eisenmetallen;NACE 24.10;;10041519;1
202688;14226-0061;Saarstahl AG;Walzwerk Neunkirchen;SL;66333;Völklingen;Völklingen;80.932;11;Verarbeitung von Eisenmetallen;NACE 24.10;;10041519;1
