,ags,description,ags_state_digits,state,name
10644,16070021,Geschwenda,16,TH,Geschwenda
10645,16070023,Gossel,16,TH,Gossel
10646,16070024,Gräfenroda,16,TH,Gräfenroda
10647,16070033,Liebenstein,16,TH,Liebenstein
10648,16070043,"Plaue, Stadt",16,TH,Plaue
10649,16070015,Frauenwald,16,TH,Frauenwald
10650,16070046,Schmiedefeld am Rennsteig,16,TH,Schmiedefeld am Rennsteig
10651,16070049,Stützerbach,16,TH,Stützerbach
10652,16070001,Alkersleben,16,TH,Alkersleben
10653,16070006,Bösleben-Wüllersleben,16,TH,Bösleben-Wüllersleben
10654,16070008,Dornheim,16,TH,Dornheim
10655,16070012,Elleben,16,TH,Elleben
10656,16070013,Elxleben,16,TH,Elxleben
10657,16070031,Kirchheim,16,TH,Kirchheim
10658,16070041,Osthausen-Wülfershausen,16,TH,Osthausen-Wülfershausen
10659,16070044,Rockhausen,16,TH,Rockhausen
10660,16070054,Witzleben,16,TH,Witzleben
10661,16070004,"Arnstadt, Stadt",16,TH,Arnstadt
10662,16070053,Wipfratal,16,TH,Wipfratal
10663,16071001,"Apolda, Stadt",16,TH,Apolda
10664,16071003,"Bad Berka, Stadt",16,TH,Bad Berka
10665,16071008,"Blankenhain, Stadt",16,TH,Blankenhain
10666,16071032,Hohenfelden,16,TH,Hohenfelden
10667,16071043,Klettbach,16,TH,Klettbach
10668,16071046,"Kranichfeld, Stadt",16,TH,Kranichfeld
10669,16071059,Nauendorf,16,TH,Nauendorf
10670,16071079,Rittersdorf,16,TH,Rittersdorf
10671,16071087,Tonndorf,16,TH,Tonndorf
10672,16071009,Buchfart,16,TH,Buchfart
10673,16071013,Döbritschen,16,TH,Döbritschen
10674,16071019,Frankendorf,16,TH,Frankendorf
10675,16071025,Großschwabhausen,16,TH,Großschwabhausen
10676,16071027,Hammerstedt,16,TH,Hammerstedt
10677,16071031,Hetschburg,16,TH,Hetschburg
10678,16071037,Kapellendorf,16,TH,Kapellendorf
10679,16071038,Kiliansroda,16,TH,Kiliansroda
10680,16071042,Kleinschwabhausen,16,TH,Kleinschwabhausen
10681,16071049,Lehnstedt,16,TH,Lehnstedt
10682,16071053,"Magdala, Stadt",16,TH,Magdala
10683,16071055,Mechelroda,16,TH,Mechelroda
10684,16071056,Mellingen,16,TH,Mellingen
10685,16071071,Oettern,16,TH,Oettern
10686,16071089,Umpferstedt,16,TH,Umpferstedt
10687,16071093,Vollersroda,16,TH,Vollersroda
10688,16071095,Wiegendorf,16,TH,Wiegendorf
