ags,description
08327002,Aldingen
08327004,Bärenthal
08327005,Balgheim
08327006,Böttingen
08327007,Bubsheim
08327008,Buchheim
08327009,Deilingen
08327010,Denkingen
08327011,Dürbheim
08327012,Durchhausen
08327013,Egesheim
08327016,"Fridingen an der Donau, Stadt"
08327017,Frittlingen
08327018,"Geisingen, Stadt"
08327019,Gosheim
08327020,Gunningen
08327023,Hausen ob Verena
08327025,Immendingen
08327027,Irndorf
08327029,Königsheim
08327030,Kolbingen
08327033,Mahlstetten
08327036,"Mühlheim an der Donau, Stadt"
08327038,Neuhausen ob Eck
08327040,Reichenbach am Heuberg
08327041,Renquishausen
08327046,"Spaichingen, Stadt"
08327048,Talheim
08327049,"Trossingen, Stadt"
08327050,"Tuttlingen, Stadt"
08327051,Wehingen
08327054,Wurmlingen
08327055,Seitingen-Oberflacht
08327056,Rietheim-Weilheim
08327057,Emmingen-Liptingen
08335000,"Konstanz, (Landkreis)"
08335001,"Aach, Stadt"
08335002,Allensbach
08335015,Büsingen am Hochrhein
08335021,Eigeltingen
08335022,"Engen, Stadt"
08335025,Gaienhofen
08335026,Gailingen am Hochrhein
08335028,Gottmadingen
08335035,Hilzingen
08335043,"Konstanz, Universitätsstadt"
08335055,Moos
08335057,Mühlingen
08335061,Öhningen
08335063,"Radolfzell am Bodensee, Stadt"
08335066,Reichenau
08335075,"Singen (Hohentwiel), Stadt"
08335077,Steißlingen
08335079,"Stockach, Stadt"
08335080,"Tengen, Stadt"
08335081,Volkertshausen
08335096,Hohenfels
08335097,Mühlhausen-Ehingen
08335098,Bodman-Ludwigshafen
08335099,Orsingen-Nenzingen
08335100,Rielasingen-Worblingen
08336000,"Lörrach, (Landkreis)"
08336004,Aitern
08336006,Bad Bellingen
08336008,Binzen
08336010,Böllen
08336014,Efringen-Kirchen
08336019,Eimeldingen
08336024,Fischingen
08336025,Fröhnd
08336034,Hasel
08336036,Hausen im Wiesental
08336043,Inzlingen
08336045,"Kandern, Stadt"
08336050,"Lörrach, Stadt"
08336057,Maulburg
08336069,"Rheinfelden (Baden), Stadt"
08336073,Rümmingen
08336075,Schallbach
08336078,Schliengen
08336079,"Schönau im Schwarzwald, Stadt"
08336080,Schönenberg
08336081,"Schopfheim, Stadt"
08336082,Schwörstadt
08336084,Steinen
08336087,"Todtnau, Stadt"
08336089,Tunau
08336090,Utzenfeld
08336091,"Weil am Rhein, Stadt"
08336094,Wembach
08336096,Wieden
08336100,Wittlingen
08336103,"Zell im Wiesental, Stadt"
08336104,Malsburg-Marzell
08336105,Grenzach-Wyhlen
08336106,Häg-Ehrsberg
08336107,Kleines Wiesental
08337000,"Waldshut, (Landkreis)"
08337002,Albbruck
08337013,Bernau im Schwarzwald
08337022,"Bonndorf im Schwarzwald, Stadt"
08337027,Dachsberg (Südschwarzwald)
08337030,Dettighofen
08337032,Dogern
08337038,Görwihl
08337039,Grafenhausen
08337045,Häusern
08337049,Herrischried
08337051,Höchenschwand
08337053,Hohentengen am Hochrhein
08337059,Ibach
08337060,Jestetten
08337062,Klettgau
08337065,Lauchringen
08337066,"Laufenburg (Baden), Stadt"
08337070,Lottstetten
08337076,Murg
08337090,Rickenbach
08337096,"Bad Säckingen, Stadt"
08337097,"St. Blasien, Stadt"
08337106,"Stühlingen, Stadt"
08337108,Todtmoos
08337116,"Wehr, Stadt"
08337118,Weilheim
08337123,Wutöschingen
08337124,Eggingen
08337125,Küssaberg
08337126,"Waldshut-Tiengen, Stadt"
08337127,Wutach
08337128,Ühlingen-Birkendorf
08415000,"Reutlingen, (Landkreis)"
08415014,Dettingen an der Erms
08415019,Eningen unter Achalm
08415027,Gomadingen
08415028,Grabenstetten
08415029,Grafenberg
08415034,"Hayingen, Stadt"
08415039,Hülben
08415048,Mehrstetten
08415050,"Metzingen, Stadt"
08415053,"Münsingen, Stadt"
08415058,Pfronstetten
08415059,"Pfullingen, Stadt"
08415060,Pliezhausen
08415061,"Reutlingen, Stadt"
08415062,Riederich
08415073,"Trochtelfingen, Stadt"
08415078,"Bad Urach, Stadt"
08415080,Wannweil
08415085,Zwiefalten
08415087,Walddorfhäslach
08415088,Römerstein
08415089,Engstingen
08415090,Hohenstein
08415091,Sonnenbühl
08415092,Lichtenstein
08415093,St. Johann
08416000,"Tübingen, (Landkreis)"
08416006,Bodelshausen
08416009,Dettenhausen
08416011,Dußlingen
08416015,Gomaringen
08416018,Hirrlingen
08416022,Kirchentellinsfurt
08416023,Kusterdingen
08416025,"Mössingen, Stadt"
08416026,Nehren
08416031,Ofterdingen
08416036,"Rottenburg am Neckar, Stadt"
08416041,"Tübingen, Universitätsstadt"
08416048,Ammerbuch
08416049,Neustetten
08416050,Starzach
08417000,"Zollernalbkreis, (Landkreis)"
08417002,"Balingen, Stadt"
08417008,Bisingen
08417010,Bitz
08417013,"Burladingen, Stadt"
08417014,Dautmergen
08417015,Dormettingen
08417016,Dotternhausen
08417022,"Geislingen, Stadt"
08417023,Grosselfingen
08417025,"Haigerloch, Stadt"
08417029,Hausen am Tann
08417031,"Hechingen, Stadt"
08417036,Jungingen
08417044,"Meßstetten, Stadt"
08417045,Nusplingen
08417047,Obernheim
08417051,Rangendingen
08417052,Ratshausen
08417054,"Rosenfeld, Stadt"
08417057,"Schömberg, Stadt"
08417063,Straßberg
08417071,Weilen unter den Rinnen
08417075,Winterlingen
08417078,Zimmern unter der Burg
08417079,"Albstadt, Stadt"
08421000,"Ulm, Universitätsstadt"
08425000,"Alb-Donau-Kreis, (Landkreis)"
08425002,Allmendingen
08425004,Altheim
08425005,Altheim (Alb)
08425008,Amstetten
08425011,Asselfingen
08425013,Ballendorf
08425014,Beimerstetten
08425017,Berghülen
08425019,Bernstadt
08425020,"Blaubeuren, Stadt"
08425022,Börslingen
08425024,Breitingen
08425028,"Dietenheim, Stadt"
08425031,Dornstadt
08425033,"Ehingen (Donau), Stadt"
08425035,Emeringen
08425036,Emerkingen
08425039,"Erbach, Stadt"
08425050,Griesingen
08425052,Grundsheim
08425055,Hausen am Bussen
08425062,Holzkirch
08425064,Hüttisheim
08425066,Illerrieden
08425071,"Laichingen, Stadt"
08425072,"Langenau, Stadt"
08425073,Lauterach
08425075,Lonsee
08425079,Merklingen
08425081,"Munderkingen, Stadt"
08425083,Neenstetten
08425084,Nellingen
08425085,Nerenstetten
08425088,Oberdischingen
08425090,Obermarchtal
08425091,Oberstadion
08425092,Öllingen
08425093,Öpfingen
08425097,Rammingen
08425098,Rechtenstein
08425104,Rottenacker
08425108,"Schelklingen, Stadt"
08425110,Schnürpflingen
08425112,Setzingen
08425123,Untermarchtal
08425124,Unterstadion
08425125,Unterwachingen
08425130,Weidenstetten
08425134,Westerheim
08425135,Westerstetten
08425137,Illerkirchberg
08425138,Staig
08425139,Heroldstatt
08425140,Balzheim
08425141,"Blaustein, Stadt"
08426000,"Biberach, (Landkreis)"
08426001,Achstetten
08426005,Alleshausen
08426006,Allmannsweiler
08426008,Altheim
08426011,Attenweiler
08426013,"Bad Buchau, Stadt"
08426014,"Bad Schussenried, Stadt"
08426019,Berkheim
08426020,Betzenweiler
08426021,"Biberach an der Riß, Stadt"
08426028,Burgrieden
08426031,Dettingen an der Iller
08426035,Dürmentingen
08426036,Dürnau
08426038,Eberhardzell
08426043,Erlenmoos
08426044,Erolzheim
08426045,Ertingen
08426058,Hochdorf
08426062,Ingoldingen
08426064,Kanzach
08426065,Kirchberg an der Iller
08426066,Kirchdorf an der Iller
08426067,Langenenslingen
08426070,"Laupheim, Stadt"
08426071,Maselheim
08426073,Mietingen
08426074,Mittelbiberach
08426078,Moosburg
08426087,"Ochsenhausen, Stadt"
08426090,Oggelshausen
08426097,"Riedlingen, Stadt"
08426100,Rot an der Rot
08426108,Schwendi
08426109,Seekirch
08426113,Steinhausen an der Rottum
08426117,Tannheim
08426118,Tiefenbach
08426120,Ummendorf
08426121,Unlingen
08426124,Uttenweiler
08426125,Wain
08426128,Warthausen
08426134,Schemmerhofen
08426135,Gutenzell-Hürbel
08435000,"Bodenseekreis, (Landkreis)"
08435005,Bermatingen
08435010,Daisendorf
08435013,Eriskirch
08435015,Frickingen
08435016,"Friedrichshafen, Stadt"
08435018,Hagnau am Bodensee
08435020,Heiligenberg
08435024,Immenstaad am Bodensee
08435029,Kressbronn am Bodensee
08435030,Langenargen
08435034,"Markdorf, Stadt"
08435035,Meckenbeuren
08435036,"Meersburg, Stadt"
08435042,Neukirch
08435045,Oberteuringen
08435047,Owingen
08435052,Salem
08435053,Sipplingen
08435054,Stetten
08435057,"Tettnang, Stadt"
08435059,"Überlingen, Stadt"
08435066,Uhldingen-Mühlhofen
08435067,Deggenhausertal
08436000,"Ravensburg, (Landkreis)"
08436001,Achberg
08436003,Aichstetten
08436004,Aitrach
08436005,Altshausen
08436006,Amtzell
08436008,"Aulendorf, Stadt"
08436009,"Bad Waldsee, Stadt"
08436010,"Bad Wurzach, Stadt"
08436011,Baienfurt
08436012,Baindt
08436013,Berg
08436014,Bergatreute
08436018,Bodnegg
08436019,Boms
08436024,Ebenweiler
08436027,Eichstegen
08436032,Fleischwangen
08436039,Grünkraut
08436040,Guggenhausen
08436047,Hoßkirch
08436049,"Isny im Allgäu, Stadt"
08436052,Kißlegg
08436053,Königseggwald
08436055,"Leutkirch im Allgäu, Stadt"
08436064,"Ravensburg, Stadt"
08436067,Riedhausen
08436069,Schlier
08436077,Unterwaldhausen
08436078,Vogt
08436079,Waldburg
08436081,"Wangen im Allgäu, Stadt"
08436082,"Weingarten, Stadt"
08436083,Wilhelmsdorf
08436085,Wolfegg
08436087,Wolpertswende
08436093,Ebersbach-Musbach
08436094,Argenbühl
08436095,Horgenzell
08436096,Fronreute
08437000,"Sigmaringen, (Landkreis)"
08437005,Beuron
08437008,Bingen
08437031,"Gammertingen, Stadt"
08437044,Herbertingen
08437047,"Hettingen, Stadt"
08437053,Hohentengen
08437056,Illmensee
08437059,Inzigkofen
08437065,Krauchenwies
08437072,Leibertingen
08437076,"Mengen, Stadt"
08437078,"Meßkirch, Stadt"
08437082,Neufra
08437086,Ostrach
08437088,"Pfullendorf, Stadt"
08437100,"Bad Saulgau, Stadt"
08437101,"Scheer, Stadt"
08437102,Schwenningen
08437104,"Sigmaringen, Stadt"
08437105,Sigmaringendorf
08437107,Stetten am kalten Markt
08437114,"Veringenstadt, Stadt"
08437118,Wald
08437123,Sauldorf
08437124,Herdwangen-Schönach
09000000,Bayern
09161000,Ingolstadt
09162000,"München, Landeshauptstadt"
09163000,Rosenheim
09171000,"Altötting, (Landkreis)"
09171111,"Altötting, St"
09171112,"Burghausen, St"
09171113,Burgkirchen a.d.Alz
09171114,Emmerting
09171115,Erlbach
09171116,Feichten a.d.Alz
09171117,Garching a.d.Alz
09171118,Haiming
09171119,Halsbach
09171121,Kastl
09171122,Kirchweidach
09171123,"Marktl, M"
09171124,Mehring
09171125,"Neuötting, St"
09171126,Perach
09171127,Pleiskirchen
09171129,Reischach
09171130,Stammham
09171131,Teising
09171132,"Töging a.Inn, St"
09171133,"Tüßling, M"
09171134,Tyrlaching
09171135,Unterneukirchen
09171137,Winhöring
09172000,"Berchtesgadener Land, (Landkreis)"
09172111,Ainring
09172112,Anger
09172114,"Bad Reichenhall, GKSt"
09172115,Bayerisch Gmain
09172116,"Berchtesgaden, M"
09172117,Bischofswiesen
09172118,"Freilassing, St"
09172122,"Laufen, St"
09172124,"Marktschellenberg, M"
09172128,Piding
09172129,Ramsau b.Berchtesgaden
09172130,Saaldorf-Surheim
09172131,Schneizlreuth
09172132,Schönau a.Königssee
09172134,"Teisendorf, M"
09173000,"Bad Tölz-Wolfratshausen, (Landkreis)"
09173111,Bad Heilbrunn
09173112,"Bad Tölz, St"
09173113,Benediktbeuern
09173115,Bichl
09173118,Dietramszell
09173120,Egling
09173123,Eurasburg
09173124,Gaißach
09173126,"Geretsried, St"
09173127,Greiling
09173130,Icking
09173131,Jachenau
09173133,Kochel a.See
09173134,Königsdorf
09173135,Lenggries
09173137,Münsing
09173140,Reichersbeuern
09173141,Sachsenkam
09173142,Schlehdorf
09173145,Wackersberg
09173147,"Wolfratshausen, St"
09174000,"Dachau, (Landkreis)"
09174111,"Altomünster, M"
09174113,Bergkirchen
09174115,"Dachau, GKSt"
09174118,Erdweg
09174121,Haimhausen
09174122,Hebertshausen
09174126,Karlsfeld
09174131,"Markt Indersdorf, M"
09174135,Odelzhausen
09174136,Petershausen
09174137,Pfaffenhofen a.d.Glonn
09174141,Röhrmoos
09174143,Schwabhausen
09174146,Sulzemoos
09174147,Hilgertshausen-Tandern
09174150,Vierkirchen
09174151,Weichs
09175000,"Ebersberg, (Landkreis)"
09175111,Anzing
09175112,Aßling
09175113,Baiern
09175114,Bruck
09175115,"Ebersberg, St"
09175116,Egmating
09175118,Forstinning
09175119,Frauenneuharting
09175121,"Glonn, M"
09175122,"Grafing b.München, St"
09175123,Hohenlinden
09175124,"Kirchseeon, M"
09175127,"Markt Schwaben, M"
09175128,Moosach
09175131,Oberpframmern
09175132,Vaterstetten
09175133,Pliening
09175135,Poing
09175136,Emmering
09175137,Steinhöring
09175139,Zorneding
09176000,"Eichstätt, (Landkreis)"
09176111,Adelschlag
09176112,"Altmannstein, M"
09176114,"Beilngries, St"
09176116,Böhmfeld
09176118,Buxheim
09176120,Denkendorf
09176121,"Dollnstein, M"
09176122,Egweil
09176123,"Eichstätt, GKSt"
09176124,Eitensheim
09176126,"Gaimersheim, M"
09176129,Großmehring
09176131,Hepberg
09176132,Hitzhofen
09176137,"Kinding, M"
09176138,"Kipfenberg, M"
09176139,"Kösching, M"
09176143,Lenting
09176147,Mindelstetten
09176148,"Mörnsheim, M"
09176149,"Nassenfels, M"
09176150,Oberdolling
09176153,"Pförring, M"
09176155,Pollenfeld
09176160,Schernfeld
09176161,Stammham
09176164,"Titting, M"
09176165,Walting
09176166,"Wellheim, M"
09176167,Wettstetten
09177000,"Erding, (Landkreis)"
09177112,Berglern
09177113,Bockhorn
09177114,Buch a.Buchrain
09177115,"Dorfen, St"
09177116,Eitting
09177117,"Erding, GKSt"
09177118,Finsing
09177119,Forstern
09177120,Fraunberg
09177121,Hohenpolding
09177122,Inning a.Holz
09177123,"Isen, M"
09177124,Kirchberg
09177126,Langenpreising
09177127,Lengdorf
09177130,Moosinning
09177131,Neuching
09177133,Oberding
09177134,Ottenhofen
09177135,Pastetten
09177137,Sankt Wolfgang
09177138,Steinkirchen
09177139,Taufkirchen (Vils)
09177142,Walpertskirchen
09177143,"Wartenberg, M"
09177144,Wörth
09178000,"Freising, (Landkreis)"
09178113,Allershausen
09178115,Attenkirchen
09178116,"Au i.d.Hallertau, M"
09178120,Eching
09178122,Rudelzhausen
09178123,Fahrenzhausen
09178124,"Freising, GKSt"
09178125,Gammelsdorf
09178129,Haag a.d.Amper
09178130,Hallbergmoos
09178132,Hörgertshausen
09178133,Hohenkammer
09178136,Kirchdorf a.d.Amper
09178137,Kranzberg
09178138,Langenbach
09178140,Marzling
09178142,Mauern
09178143,"Moosburg a.d.Isar, St"
09178144,"Nandlstadt, M"
09178145,Neufahrn b.Freising
09178150,Paunzhausen
09178155,Wang
09178156,Wolfersdorf
09178157,Zolling
09179000,"Fürstenfeldbruck, (Landkreis)"
09179111,Adelshofen
09179113,Alling
09179114,Althegnenberg
09179117,Egenhofen
09179118,Eichenau
09179119,Emmering
09179121,"Fürstenfeldbruck, GKSt"
09179123,"Germering, GKSt"
09179125,Grafrath
09179126,Gröbenzell
09179128,Hattenhofen
09179130,Jesenwang
09179131,Kottgeisering
09179132,Landsberied
09179134,Maisach
09179136,Mammendorf
09179137,Mittelstetten
09179138,Moorenweis
09179140,Oberschweinbach
09179142,"Olching, St"
09179145,"Puchheim, St"
09179147,Schöngeising
09179149,Türkenfeld
09180000,"Garmisch-Partenkirchen, (Landkreis)"
09180112,Bad Kohlgrub
09180113,Bad Bayersoien
09180114,Eschenlohe
09180115,Ettal
09180116,Farchant
09180117,"Garmisch-Partenkirchen, M"
09180118,Grainau
09180119,Großweil
09180122,Krün
09180123,"Mittenwald, M"
09180124,"Murnau a.Staffelsee, M"
09180125,Oberammergau
09180126,Oberau
09180127,Ohlstadt
09180128,Riegsee
09180129,Saulgrub
09180131,Schwaigen
09180132,Seehausen a.Staffelsee
09180133,Spatzenhausen
09180134,Uffing a.Staffelsee
09180135,Unterammergau
09180136,Wallgau
09181000,"Landsberg am Lech, (Landkreis)"
09181111,Apfeldorf
09181113,Denklingen
09181114,"Dießen am Ammersee, M"
09181115,Eching am Ammersee
09181116,Egling a.d.Paar
09181118,Eresing
09181120,Finning
09181121,Fuchstal
09181122,Geltendorf
09181123,Greifenberg
09181124,Hofstetten
09181126,Hurlach
09181127,Igling
09181128,"Kaufering, M"
09181129,Kinsau
09181130,"Landsberg am Lech, GKSt"
09181131,Obermeitingen
09181132,Penzing
09181133,Vilgertshofen
09181134,Prittriching
09181135,Reichling
09181137,Rott
09181138,Scheuring
09181139,Schondorf am Ammersee
09181140,Schwifting
09181141,Pürgen
09181142,Thaining
09181143,Unterdießen
09181144,Utting am Ammersee
09181145,Weil
09181146,Windach
09182000,"Miesbach, (Landkreis)"
09182111,Bad Wiessee
09182112,Bayrischzell
09182114,Fischbachau
09182116,Gmund a.Tegernsee
09182119,Hausham
09182120,"Holzkirchen, M"
09182123,Irschenberg
09182124,Kreuth
09182125,"Miesbach, St"
09182127,Otterfing
09182129,Rottach-Egern
09182131,"Schliersee, M"
09182132,"Tegernsee, St"
09182133,Valley
09182134,Waakirchen
09182136,Warngau
09182137,Weyarn
09183000,"Mühldorf a.Inn, (Landkreis)"
09183112,Ampfing
09183113,Aschau a.Inn
09183114,"Buchbach, M"
09183115,Egglkofen
09183116,Erharting
09183118,"Gars a.Inn, M"
09183119,"Haag i.OB, M"
09183120,Heldenstein
09183122,Jettenbach
09183123,Kirchdorf
09183124,"Kraiburg a.Inn, M"
09183125,Lohkirchen
09183126,Maitenbeth
09183127,Mettenheim
09183128,"Mühldorf a.Inn, St"
09183129,"Neumarkt-Sankt Veit, St"
09183130,Niederbergkirchen
09183131,Niedertaufkirchen
09183132,Oberbergkirchen
09183134,Oberneukirchen
09183135,Obertaufkirchen
09183136,Polling
09183138,Rattenkirchen
09183139,Rechtmehring
09183140,Reichertsheim
09183143,Schönberg
09183144,Schwindegg
09183145,Taufkirchen
09183147,Unterreit
09183148,"Waldkraiburg, St"
09183151,Zangberg
09184000,"München, (Landkreis)"
09184112,Aschheim
09184113,Baierbrunn
09184114,Brunnthal
09184118,Feldkirchen
09184119,"Garching b.München, St"
09184120,Gräfelfing
09184121,Grasbrunn
09184122,Grünwald
09184123,Haar
09184127,Höhenkirchen-Siegertsbrunn
09184129,Hohenbrunn
09184130,Ismaning
09184131,Kirchheim b.München
09184132,Neuried
09184134,Oberhaching
09184135,Oberschleißheim
09184136,Ottobrunn
09184137,Aying
09184138,Planegg
09184139,Pullach i.Isartal
09184140,Putzbrunn
09184141,Sauerlach
09184142,Schäftlarn
09184144,Straßlach-Dingharting
09184145,Taufkirchen
09184146,Neubiberg
09184147,Unterföhring
09184148,Unterhaching
09184149,"Unterschleißheim, St"
09185000,"Neuburg-Schrobenhausen, (Landkreis)"
09185113,Aresing
09185116,Berg im Gau
09185118,Bergheim
09185123,Brunnen
09185125,"Burgheim, M"
09185127,Ehekirchen
09185131,Gachenbach
09185139,Karlshuld
09185140,Karlskron
09185143,Langenmosen
09185149,"Neuburg a.d.Donau, GKSt"
09185150,Oberhausen
09185153,"Rennertshofen, M"
09185157,Rohrenfels
09185158,"Schrobenhausen, St"
09185163,Königsmoos
09185166,Waidhofen
09185168,Weichering
09186000,"Pfaffenhofen a.d.Ilm, (Landkreis)"
09186113,Baar-Ebenhausen
09186116,Ernsgaden
09186122,"Geisenfeld, St"
09186125,Gerolsbach
09186126,Hettenshausen
09186128,"Hohenwart, M"
09186130,Ilmmünster
09186132,Jetzendorf
09186137,"Manching, M"
09186139,Münchsmünster
09186143,"Pfaffenhofen a.d.Ilm, St"
09186144,Pörnbach
09186146,Reichertshausen
09186147,"Reichertshofen, M"
09186149,Rohrbach
09186151,Scheyern
09186152,Schweitenkirchen
09186158,"Vohburg a.d.Donau, St"
09186162,"Wolnzach, M"
09187000,"Rosenheim, (Landkreis)"
09187113,Amerang
09187114,Aschau i.Chiemgau
09187116,Babensham
09187117,"Bad Aibling, St"
09187118,Bernau a.Chiemsee
09187120,Brannenburg
09187121,Breitbrunn a.Chiemsee
09187122,"Bruckmühl, M"
09187123,Chiemsee
09187124,Edling
09187125,Eggstätt
09187126,Eiselfing
09187128,"Bad Endorf, M"
09187129,Bad Feilnbach
09187130,Feldkirchen-Westerham
09187131,Flintsbach a.Inn
09187132,Frasdorf
09187134,Griesstätt
09187137,Großkarolinenfeld
09187138,Gstadt a.Chiemsee
09187139,Halfing
09187142,Schechen
09187145,Höslwang
09187148,Kiefersfelden
09187150,"Kolbermoor, St"
09187154,"Neubeuern, M"
09187156,Nußdorf a.Inn
09187157,Oberaudorf
09187159,Pfaffing
09187162,"Prien a.Chiemsee, M"
09187163,Prutting
09187164,Ramerberg
09187165,Raubling
09187167,Riedering
09187168,Rimsting
09187169,Rohrdorf
09187170,Rott a.Inn
09187172,Samerberg
09187173,Schonstett
09187174,Söchtenau
09187176,Soyen
09187177,Stephanskirchen
09187179,Tuntenhausen
09187181,Vogtareuth
09187182,"Wasserburg a.Inn, St"
09187186,Albaching
09188000,"Starnberg, (Landkreis)"
09188113,Berg
09188117,Andechs
09188118,Feldafing
09188120,Gauting
09188121,Gilching
09188124,Herrsching a.Ammersee
09188126,Inning a.Ammersee
09188127,Krailling
09188132,Seefeld
09188137,Pöcking
09188139,"Starnberg, St"
09188141,Tutzing
09188144,Weßling
09188145,Wörthsee
09189000,"Traunstein, (Landkreis)"
09189111,Altenmarkt a.d.Alz
09189113,Bergen
09189114,Chieming
09189115,Engelsberg
09189118,Fridolfing
09189119,Grabenstätt
09189120,"Grassau, M"
09189124,Inzell
09189126,Kienberg
09189127,Kirchanschöring
09189129,Marquartstein
09189130,Nußdorf
09189133,Obing
09189134,Palling
09189135,Petting
09189137,Pittenhart
09189139,Reit im Winkl
09189140,Ruhpolding
09189141,Schleching
09189142,Schnaitsee
09189143,Seeon-Seebruck
09189145,Siegsdorf
09189146,Staudach-Egerndach
09189148,Surberg
09189149,Tacherting
09189150,Taching a.See
09189152,"Tittmoning, St"
09189154,"Traunreut, St"
09189155,"Traunstein, GKSt"
09189157,"Trostberg, St"
09189159,Übersee
09189160,Unterwössen
09189161,Vachendorf
09189162,"Waging a.See, M"
09189165,Wonneberg
09190000,"Weilheim-Schongau, (Landkreis)"
09190111,Altenstadt
09190113,Antdorf
09190114,Bernbeuren
09190115,Bernried am Starnberger See
09190117,Böbing
09190118,Burggen
09190120,Eberfing
09190121,Eglfing
09190126,Habach
09190129,Hohenfurch
09190130,Hohenpeißenberg
09190131,Huglfing
09190132,Iffeldorf
09190133,Ingenried
09190135,Oberhausen
09190136,Obersöchering
09190138,Pähl
09190139,"Peißenberg, M"
09190140,"Peiting, M"
09190141,"Penzberg, St"
09190142,Polling
09190143,Prem
09190144,Raisting
09190145,Rottenbuch
09190148,"Schongau, St"
09190149,Schwabbruck
09190151,Schwabsoien
09190152,Seeshaupt
09190153,Sindelsdorf
09190154,Steingaden
09190157,"Weilheim i.OB, St"
09190158,Wessobrunn
09190159,Wielenbach
09190160,Wildsteig
09261000,Landshut
09262000,Passau
09263000,Straubing
09271000,"Deggendorf, (Landkreis)"
09271111,Aholming
09271113,Auerbach
09271114,Außernzell
09271116,Bernried
09271118,Buchhofen
09271119,"Deggendorf, GKSt"
09271122,Grafling
09271123,Grattersdorf
09271125,"Hengersberg, M"
09271126,Hunding
09271127,Iggensbach
09271128,Künzing
09271130,Lalling
09271132,"Metten, M"
09271135,Moos
09271138,Niederalteich
09271139,Oberpöring
09271140,Offenberg
09271141,"Osterhofen, St"
09271143,Otzing
09271146,"Plattling, St"
09271148,Schaufling
09271149,"Schöllnach, M"
09271151,Stephansposching
09271152,Wallerfing
09271153,"Winzer, M"
09272000,"Freyung-Grafenau, (Landkreis)"
09272116,Eppenschlag
09272118,"Freyung, St"
09272119,Fürsteneck
09272120,"Grafenau, St"
09272121,Grainet
09272122,Haidmühle
09272126,Hinterschmiding
09272127,Hohenau
09272128,Innernzell
09272129,Jandelsbrunn
09272134,Mauth
09272136,Neureichenau
09272138,"Perlesreut, M"
09272139,Philippsreut
09272140,Ringelai
09272141,"Röhrnbach, M"
09272142,Saldenburg
09272143,Sankt Oswald-Riedlhütte
09272145,Schöfweg
09272146,Neuschönau
09272147,"Schönberg, M"
09272149,Spiegelau
09272150,Thurmansbang
09272151,"Waldkirchen, St"
09272152,Zenting
09273000,"Kelheim, (Landkreis)"
09273111,"Abensberg, St"
09273113,Aiglsbach
09273115,Attenhofen
09273116,"Bad Abbach, M"
09273119,Biburg
09273121,"Essing, M"
09273125,Hausen
09273127,Herrngiersdorf
09273133,Ihrlerstein
09273137,"Kelheim, St"
09273139,Kirchdorf
09273141,"Langquaid, M"
09273147,"Mainburg, St"
09273152,"Neustadt a.d.Donau, St"
09273159,"Painten, M"
09273163,Elsendorf
09273164,"Riedenburg, St"
09273165,"Rohr i.NB, M"
09273166,Saal a.d.Donau
09273172,"Siegenburg, M"
09273175,Teugn
09273177,Train
09273178,Volkenschwand
09273181,Wildenberg
09274000,"Landshut, (Landkreis)"
09274111,Adlkofen
09274112,Aham
09274113,"Altdorf, M"
09274114,Altfraunhofen
09274118,Baierbach
09274119,Bayerbach b.Ergoldsbach
09274120,Bodenkirchen
09274121,Buch a.Erlbach
09274124,Eching
09274126,"Ergolding, M"
09274127,"Ergoldsbach, M"
09274128,"Essenbach, M"
09274132,Furth
09274134,"Geisenhausen, M"
09274135,Gerzen
09274141,Hohenthann
09274145,Kröning
09274146,Kumhausen
09274153,Neufahrn i.NB
09274154,Neufraunhofen
09274156,Niederaichbach
09274165,Obersüßbach
09274172,"Pfeffenhausen, M"
09274174,Postau
09274176,"Rottenburg a.d.Laaber, St"
09274179,Schalkham
09274182,Tiefenbach
09274183,"Velden, M"
09274184,"Vilsbiburg, St"
09274185,Vilsheim
09274187,Weihmichl
09274188,Weng
09274191,Wörth a.d.Isar
09274193,Wurmsham
09274194,Bruckberg
09275000,"Passau, (Landkreis)"
09275111,Aicha vorm Wald
09275112,"Aidenbach, M"
09275114,Aldersbach
09275116,Bad Füssing
09275117,Beutelsbach
09275118,Breitenberg
09275119,Büchlberg
09275120,"Eging a.See, M"
09275121,Fürstenstein
09275122,"Fürstenzell, M"
09275124,"Bad Griesbach i.Rottal, St"
09275125,Haarbach
09275126,"Hauzenberg, St"
09275127,"Hofkirchen, M"
09275128,"Hutthurm, M"
09275130,Kirchham
09275131,"Kößlarn, M"
09275132,Malching
09275133,Neuburg a.Inn
09275134,Neuhaus a.Inn
09275135,Neukirchen vorm Wald
09275137,"Obernzell, M"
09275138,"Ortenburg, M"
09275141,"Pocking, St"
09275143,"Rotthalmünster, M"
09275144,Ruderting
09275145,"Ruhstorf a.d.Rott, M"
09275146,Salzweg
09275148,Sonnen
09275149,Tettenweis
09275150,Thyrnau
09275151,Tiefenbach
09275152,"Tittling, M"
09275153,"Untergriesbach, M"
09275154,"Vilshofen an der Donau, St"
09275156,"Wegscheid, M"
09275159,"Windorf, M"
09275160,Witzmannsberg
09276000,"Regen, (Landkreis)"
09276111,Achslach
09276113,Arnbruck
09276115,Bayerisch Eisenstein
09276116,Bischofsmais
09276117,"Bodenmais, M"
09276118,Böbrach
09276120,Drachselsried
09276121,Frauenau
09276122,Geiersthal
09276123,Gotteszell
09276126,Kirchberg i.Wald
09276127,Kirchdorf i.Wald
